,site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
1568,elbe-river_bunthaus_v0.3,2023-03-13,2023-03-13 12:00:00,53.461787,10.064451,17.24,0.0,7.530000000000001,4.08,24.77,18.1321084864392,0.5865939212086553,24.77,18.1321084864392,0.5865939212086553,17.24,0.0,7.530000000000001
1569,elbe-river_bunthaus_v0.3,2023-03-14,2023-03-14 12:00:00,53.461787,10.064451,18.97,0.0,8.16,5.211666666666667,27.13,20.76893166132012,0.5837235038552618,27.13,20.76893166132012,0.5837235038552618,18.97,0.0,8.16
1570,elbe-river_bunthaus_v0.3,2023-03-15,2023-03-15 12:00:00,53.461787,10.064451,22.01,0.0,9.079999999999998,5.466666666666666,31.09,22.9901817828327,0.6072703325244102,31.09,22.9901817828327,0.6072703325244102,22.01,0.0,9.079999999999998
1571,elbe-river_bunthaus_v0.3,2023-03-16,2023-03-16 12:00:00,53.461787,10.064451,17.63,0.0,7.550000000000001,5.613333333333333,25.18,28.69155244483328,0.5886552787567763,25.18,28.69155244483328,0.5886552787567763,17.63,0.0,7.550000000000001
1572,elbe-river_bunthaus_v0.3,2023-03-17,2023-03-17 12:00:00,53.461787,10.064451,13.37,0.06,6.480000000000001,5.871666666666667,19.91,22.212501215125886,0.6564698204754104,19.91,22.212501215125886,0.6564698204754104,13.37,0.06,6.480000000000001
1573,elbe-river_bunthaus_v0.3,2023-03-18,2023-03-18 12:00:00,53.461787,10.064451,11.55,0.0,4.84,6.48,16.39,15.104014775930786,0.6781905258350563,16.39,15.104014775930786,0.6781905258350563,11.55,0.0,4.84
1574,elbe-river_bunthaus_v0.3,2023-03-19,2023-03-19 12:00:00,53.461787,10.064451,12.116122448979592,0.3098098186643078,5.976210869611004,7.278333333333333,18.402143137254903,21.0702828813065,0.6490505131853184,18.402143137254903,21.0702828813065,0.6490505131853184,12.116122448979592,0.3098098186643078,5.976210869611004
1575,elbe-river_bunthaus_v0.3,2023-03-20,2023-03-20 12:00:00,53.461787,10.064451,11.06,0.2,4.63,7.671666666666667,15.89,24.79828910275104,0.6049678334125853,15.89,24.79828910275104,0.6049678334125853,11.06,0.2,4.63
1576,elbe-river_bunthaus_v0.3,2023-03-21,2023-03-21 12:00:00,53.461787,10.064451,10.301095189255596,0.2858954356846472,5.268335913966711,8.01,15.855326538906954,32.26596675415573,0.5872129771746687,15.855326538906954,32.26596675415573,0.5872129771746687,10.301095189255596,0.2858954356846472,5.268335913966711
1577,elbe-river_bunthaus_v0.3,2023-03-22,2023-03-22 12:00:00,53.461787,10.064451,10.930230727470144,0.5603605818832107,5.278738184292973,8.264999999999999,16.769329493646328,27.62710216778458,0.6333952975331583,16.769329493646328,27.62710216778458,0.6333952975331583,10.930230727470144,0.5603605818832107,5.278738184292973
