site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
berlin_muggelsee_IOP_daily_v0.3,2023-09-03,2023-09-03 12:00:00,52.437300000000015,13.647400000000005,0.170674964104255,0.3256179244222104,12.03946696080305,21.305956503097768,12.535759849329516,4.9784227909429495,0.4610849460099466,12.535759849329516,4.9784227909429495,0.4610849460099466,0.170674964104255,0.3256179244222104,12.03946696080305
berlin_muggelsee_IOP_daily_v0.3,2023-09-04,2023-09-04 12:00:00,52.437300000000015,13.647400000000005,0.2439893143365984,0.3293855743544077,13.126625111308991,21.053,13.699999999999998,5.099999999999999,0.4634787532538255,13.699999999999998,5.099999999999999,0.4634787532538255,0.2439893143365984,0.3293855743544077,13.126625111308991
berlin_muggelsee_IOP_daily_v0.3,2023-09-05,2023-09-05 12:00:00,52.437300000000015,13.647400000000005,0.3146890718930042,0.345930459501345,13.537873063053604,20.88158932759232,14.198492594447952,5.045360004011656,0.4669616013490144,14.198492594447952,5.045360004011656,0.4669616013490144,0.3146890718930042,0.345930459501345,13.537873063053604
berlin_muggelsee_IOP_daily_v0.3,2023-09-06,2023-09-06 12:00:00,52.437300000000015,13.647400000000005,0.368785702438448,0.3731314719961108,13.35224397317032,20.78710056731106,14.09416114760488,4.846566798910953,0.471254600056701,14.09416114760488,4.846566798910953,0.471254600056701,0.368785702438448,0.3731314719961108,13.35224397317032
berlin_muggelsee_IOP_daily_v0.3,2023-09-07,2023-09-07 12:00:00,52.437300000000015,13.647400000000005,0.3998675135498333,0.4082179457331732,12.80651527026685,20.75919127779048,13.614600729549856,4.552468880791546,0.4759949554294097,13.614600729549856,4.552468880791546,0.4759949554294097,0.3998675135498333,0.4082179457331732,12.80651527026685
berlin_muggelsee_IOP_daily_v0.3,2023-09-08,2023-09-08 12:00:00,52.437300000000015,13.647400000000005,0.4084847765815341,0.4473502897364262,12.1468376484094,20.78751901766484,13.00267271472736,4.21191474574709,0.4808198735196646,13.00267271472736,4.21191474574709,0.4808198735196646,0.4084847765815341,0.4473502897364262,12.1468376484094
berlin_muggelsee_IOP_daily_v0.3,2023-09-09,2023-09-09 12:00:00,52.437300000000015,13.647400000000005,0.4003330180085739,0.4849501035816003,11.58900468516664,20.861741345568376,12.474287806756813,3.8737528898712426,0.48536656037999,12.474287806756813,3.8737528898712426,0.48536656037999,0.4003330180085739,0.4849501035816003,11.58900468516664
berlin_muggelsee_IOP_daily_v0.3,2023-09-10,2023-09-10 12:00:00,52.437300000000015,13.647400000000005,0.383284097258784,0.5135803253730765,11.316847075281762,20.971515820135345,12.213711497913623,3.58683180925766,0.4892722220629103,12.213711497913623,3.58683180925766,0.4892722220629103,0.383284097258784,0.5135803253730765,11.316847075281762
berlin_muggelsee_IOP_daily_v0.3,2023-09-11,2023-09-11 12:00:00,52.437300000000015,13.647400000000005,0.3650413983440661,0.5247470101195951,11.51021159153634,21.106500000000004,12.400000000000002,3.4000000000000004,0.4921740646209498,12.400000000000002,3.4000000000000004,0.4921740646209498,0.3650413983440661,0.5247470101195951,11.51021159153634
berlin_muggelsee_IOP_daily_v0.3,2023-09-12,2023-09-12 12:00:00,52.437300000000015,13.647400000000005,0.3513606217374218,0.513233967823395,12.330008242900304,21.255777111631392,13.19460283246112,3.348992399576672,0.4938041327856556,13.19460283246112,3.348992399576672,0.4938041327856556,0.3513606217374218,0.513233967823395,12.330008242900304
berlin_muggelsee_IOP_daily_v0.3,2023-09-13,2023-09-13 12:00:00,52.437300000000015,13.647400000000005,0.3440487654711962,0.4857348391278049,13.741255156889943,21.406133052837752,14.571038761488946,3.4170897110051035,0.4942738260046678,14.571038761488946,3.4170897110051035,0.4942738260046678,0.3440487654711962,0.4857348391278049,13.741255156889943
berlin_muggelsee_IOP_daily_v0.3,2023-09-14,2023-09-14 12:00:00,52.437300000000015,13.647400000000005,0.3441983755145424,0.4517742199074139,15.65487659590094,21.543779389262102,16.450849191322895,3.574459078687476,0.4937893824046491,16.450849191322895,3.574459078687476,0.4937893824046491,0.3441983755145424,0.4517742199074139,15.65487659590094
berlin_muggelsee_IOP_daily_v0.3,2023-09-15,2023-09-15 12:00:00,52.437300000000015,13.647400000000005,0.3533340329511673,0.4193743347926187,17.932984828984054,21.65492768654748,18.70569319672784,3.7912676470259687,0.4925570401122626,18.70569319672784,3.7912676470259687,0.4925570401122626,0.3533340329511673,0.4193743347926187,17.932984828984054
berlin_muggelsee_IOP_daily_v0.3,2023-09-16,2023-09-16 12:00:00,52.437300000000015,13.647400000000005,0.3737798733495327,0.394602971516906,20.33397741040621,21.7257895103369,21.10236025527265,4.037682560422768,0.4907830372541712,21.10236025527265,4.037682560422768,0.4907830372541712,0.3737798733495327,0.394602971516906,20.33397741040621
berlin_muggelsee_IOP_daily_v0.3,2023-09-17,2023-09-17 12:00:00,52.437300000000015,13.647400000000005,0.409228704374388,0.3822230185881585,22.47574496141441,21.742576426273395,23.26719668437696,4.283870963280051,0.4886736119570375,23.26719668437696,4.283870963280051,0.4886736119570375,0.409228704374388,0.3822230185881585,22.47574496141441
